epochs,octoFlash (r),octoFlash (w),octoFlash (r+w),octoFlash (r cycles),octoFlash (w cycles),octoFlash (cycles),hyperRAM (r),hyperRAM (w),hyperRAM (r+w),hyperRAM (r cycles),hyperRAM (w cycles),hyperRAM (cycles),npuRAM6 (r),npuRAM6 (w),npuRAM6 (r+w),npuRAM6 (r cycles),npuRAM6 (w cycles),npuRAM6 (cycles),cpuRAM2 (r),cpuRAM2 (w),cpuRAM2 (r+w),cpuRAM2 (r cycles),cpuRAM2 (w cycles),cpuRAM2 (cycles),flexMEM (r),flexMEM (w),flexMEM (r+w),flexMEM (r cycles),flexMEM (w cycles),flexMEM (cycles),cpuRAM1 (r),cpuRAM1 (w),cpuRAM1 (r+w),cpuRAM1 (r cycles),cpuRAM1 (w cycles),cpuRAM1 (cycles),bus port 1 (r),bus port 1 (w),bus port 0 (r),bus port 0 (w),epoch OPS,epoch OPS vs total %,epoch compute (cyles),epoch compute (cyles) vs Tot %,max (cycles),max (cycles) vs Tot %,epoch average ATON power (mW),epoch average ATON power vs Tot %,epoch average memory power (mW),epoch average memory power vs Tot %
0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 ,0,0,0,0,0,0,0,0,0,0,0,0,64000,64000,128000,10000,80000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000,64000,0,0,0,0,0,80000,0.000870576,0,0.00057738,0,0.000171546
3 ,1600,0,1600,9600,0,9600,0,0,0,0,0,0,64000,64000,128000,20000,20000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,64000,64000,0,2624000,0.000597196,64000,0.00164412,64000,0.00069646,27.1945,0.00104723,14.199,0.000280007
4 ,20480,0,20480,122880,0,122880,0,0,0,0,0,0,1024000,204800,1228800,76800,32000,108800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512000,204800,532480,0,32972800,0.00750428,256000,0.00657646,256000,0.00278584,64.2164,0.00989161,39.764,0.00313661
5 ,0,0,0,0,0,0,0,0,0,0,0,0,204800,204800,409600,256000,32000,288000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204800,204800,0,0,0,0,0,256000,0.00278584,0,0.00184762,0,0.000548947
6 ,0,0,0,0,0,0,0,0,0,0,0,0,204800,256,205056,32000,40,32040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,204800,0,0,0,204800,0.00526117,204800,0.00222867,10.7606,0.00132601,4.75643,0.000300153
7 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,32,544,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,8192,32,16416,3.73612e-06,2731,7.01575e-05,49152,0.000534882,74.7404,0.000122817,660.856,0.000556109
8 ,8192,0,8192,16380,0,16380,0,0,0,0,0,0,512,256,768,26,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,8192,256,16640,3.7871e-06,2731,7.01575e-05,49152,0.000534882,75.88,0.000124689,661.18,0.000556382
9 ,0,0,0,0,0,0,0,0,0,0,0,0,614400,204800,819200,96000,32000,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204800,204800,409600,0,204800,4.66104e-05,204800,0.00526117,204800,0.00222867,12.7501,0.00157118,18.202,0.00114863
